NAMEANDARGS(C128)	IDNUM(B4)	TYPE(C32)	DESC(C255)
LOADDTM	754	?	Unknown
SYMDICT	755	?	Unknown
ARCDIST	756	?	Unknown
LOADBMP	757	?	Unknown
ADDAREA	758	?	Unknown
DOWNAME	759	?	Unknown
ADDLINE	760	?	Unknown
NUMROWS	761	?	Unknown
PICKCPT	762	?	Unknown
DISPLAY	763	?	Unknown
GMDCOPY	764	?	Unknown
VEHICLE	765	?	Unknown
ADDITEM	766	?	Unknown
TCPPARM	767	?	Unknown
DIRPATH	768	?	Unknown
NUMERIC	769	?	Unknown
FILEPOS	770	?	Unknown
FILELEN	771	?	Unknown
TCPFILE	772	?	Unknown
TOOLBAR	773	?	Unknown
NETWORK	774	?	Unknown
LOADMAP	775	?	Unknown
AZMDIFF	776	?	Unknown
PROCESS	777	?	Unknown
SESSION	778	?	Unknown
COMPOSE	779	?	Unknown
BATTERY	780	?	Unknown
POINTSYM	801	?	Unknown
COPYFILE	802	?	Unknown
EDITFILE	803	?	Unknown
CHANGEPT	804	?	Unknown
GOFILEPT	805	?	Unknown
COORDLOC	806	?	Unknown
IMAGELIM	807	?	Unknown
WMASETUP	808	?	Unknown
LOADTRAN	809	?	Unknown
GETCOLOR	810	?	Unknown
ADDPOINT	811	?	Unknown
LOADEDGE	812	?	Unknown
AREAGRID	813	?	Unknown
TCPCLOSE	814	?	Unknown
PARSECDT	815	?	Unknown
NUMLINES	816	?	Unknown
SCALERNG	817	?	Unknown
ZOOMLIST	818	?	Unknown
MIDPOINT	819	?	Unknown
NEWPOINT	820	?	Unknown
PATHTYPE	821	?	Unknown
GMDMERGE	822	?	Unknown
TRUNCATE	823	?	Unknown
FILETYPE	824	?	Unknown
REGISTER	825	?	Unknown
CONTINUE	826	?	Unknown
READLINE	827	?	Unknown
TABLEDEF	828	?	Unknown
OWNERLOC	829	?	Unknown
REORGMAP	830	?	Unknown
GETFOCUS	831	?	Unknown
SETFOCUS	832	?	Unknown
TRAVERSE	833	?	Unknown
CHECKTIF	834	?	Unknown
GMDREORG	835	?	Unknown
MAPINDEX	836	?	Unknown
TIMESPAN	837	?	Unknown
COPYTEXT	838	?	Unknown
FILECOPY	839	?	Unknown
COLORMAP	840	?	Unknown
MAPIMAGE	841	?	Unknown
XMLTOGMD	842	?	Unknown
PNETGRID	843	?	Unknown
CPTTOBPW	844	?	Unknown
FILELIST	845	?	Unknown
CHECKSUM	846	?	Unknown
MAXSLOPE	847	?	Unknown
FILETIME	848	?	Unknown
FUNCTION	849	?	Unknown
ADDSEARCH	901	?	Unknown
REDISPLAY	902	?	Unknown
GMDUPDATE	903	?	Unknown
