MatchCode,"Street","House","City","OriginalFileKey"
0,"FILLMORE ST","3133","MINNEAPOLIS","6237.3"
0,"FREMONT AVE N","3941","MINNEAPOLIS","6267.1"
0,"GIRARD AVE S","2609","MINNEAPOLIS","6284.1"
0,"FREMONT AVE S","3456","MINNEAPOLIS","6292.4"
0,"LAKE HARRIET PKWY","4555","MINNEAPOLIS","6301.1"
0,"25TH St W","608","MINNEAPOLIS","6304.1"
0,"GARFIELD AVE","4144","MINNEAPOLIS","6320.4"
0,"GARFIELD AVE","4554","MINNEAPOLIS","6323.7"
0,"LYNDALE AVE S","4747","MINNEAPOLIS","6326.3"
0,"GIRARD AVE N","2055","MINNEAPOLIS","6344.2"
0,"GIRARD AVE N","3439","MINNEAPOLIS","6351.2"
0,"HUMBOLDT AVE N","3726","MINNEAPOLIS","6354.2"
0,"39TH AVE N","1415","MINNEAPOLIS","6355.1"
0,"GOLDEN VAL RD","1303","MINNEAPOLIS","6357.1"
0,"GIRARD AVE N","4121","MINNEAPOLIS","6358.3"
0,"IRVING AVE N","1415","MINNEAPOLIS","6371.5"
0,"GOLDEN VAL RD","1313","MINNEAPOLIS","6373.4"
0,"HENNEPIN AVE","3341","MINNEAPOLIS","6385.4"
0,"LONGVIEW TER","27","MINNEAPOLIS","6397.1"
0,"38TH ST W","500","MINNEAPOLIS","6460.1"
0,"LOWRY AVE N","1600","MINNEAPOLIS","6595.1"
0,"IRVING AVE N","3452","MINNEAPOLIS","6597.6"
0,"32ND St W","1620","MINNEAPOLIS","6609.1"
0,"PATRICK HENRY HIGH","4200","MINNEAPOLIS","6648.3"
0,"JOHNSON ST NE","1823","MINNEAPOLIS","6678.4"
0,"ULYSSES ST","1930","MINNEAPOLIS","6679.2"
0,"JOHNSON ST NE","2247","MINNEAPOLIS","6680.1"
0,"ULYSSES ST","3440","MINNEAPOLIS","6690.2"
0,"KENWOOD PKWY","2396","MINNEAPOLIS","6692.9"
0,"KENWOOD PKWY","1984","MINNEAPOLIS","6693.1"
0,"KENWOOD PKWY","2024","MINNEAPOLIS","6693.3"
0,"KNOX AVE N","311","MINNEAPOLIS","6694.1"
0,"LOGAN AVE N","1425","MINNEAPOLIS","6701.3"
0,"LOGAN AVE N","2640","MINNEAPOLIS","6704.2"
0,"LOWRY AVE N","1813","MINNEAPOLIS","6707.1"
0,"LOGAN AVE N","3406","MINNEAPOLIS","6710.6"
0,"LOGAN AVE N","3426","MINNEAPOLIS","6710.9"
0,"31ST St W","1810","MINNEAPOLIS","6719.1"
0,"LAKE OF THE ISLES PKWY","2100","MINNEAPOLIS","6736.1"
0,"LAKE OF THE ISLES PKWY","2450","MINNEAPOLIS","6738.1"
0,"LAKE OF THE ISLES PKWY","2706","MINNEAPOLIS","6739.2"
0,"LAKE OF THE ISLES PKWY","2774","MINNEAPOLIS","6739.3"
0,"LAKE OF THE ISLES PKWY","2323","MINNEAPOLIS","6740.3"
0,"MORGAN AVE N","2812","MINNEAPOLIS","6781.1"
0,"MORGAN AVE S","5013","MINNEAPOLIS","6797.2"
0,"MORGAN AVE S","5017","MINNEAPOLIS","6797.4"
0,"LONGFELLOW AVE","2645","MINNEAPOLIS","6811.3"
0,"MONROE ST","1621","MINNEAPOLIS","6884.1"
0,"BARTON AVE","74","MINNEAPOLIS","6890.1"
0,"STINSON BLVD","2212","MINNEAPOLIS","6914.6"
0,"STINSON BLVD","2630","MINNEAPOLIS","6917.1"
0,"MCKINLEY ST","2821","MINNEAPOLIS","6919.1"
0,"MINNEHAHA PKWY W","1453","MINNEAPOLIS","6941.2"
0,"MORGAN AVE N","3505","MINNEAPOLIS","6977.1"
0,"NEWTON AVE S","2021","MINNEAPOLIS","6986.5"
0,"NEWTON AVE S","5045","MINNEAPOLIS","6987.8"
0,"MORGAN AVE S","4861","MINNEAPOLIS","6995.3"
0,"LONGFELLOW AVE","1856","MINNEAPOLIS","7"
0,"NEWTON AVE N","2010","MINNEAPOLIS","7007.1"
0,"OLIVER AVE N","3249","MINNEAPOLIS","7015.5"
0,"OLIVER AVE S","5155","MINNEAPOLIS","7033.6"
0,"BLAISDELL AVE","3313","MINNEAPOLIS","7052.3"
0,"38TH St W","20","MINNEAPOLIS","7056.1"
0,"NICOLLET AVE","3740","MINNEAPOLIS","7056.2"
0,"NICOLLET AVE","4205","MINNEAPOLIS","7101.1"
0,"CEDAR AVE","5630","MINNEAPOLIS","7125.1"
0,"PORTLAND AVE","5256","MINNEAPOLIS","7413.2"
0,"PARK AVE","800","MINNEAPOLIS","7417.1"
0,"10TH St S","1000","MINNEAPOLIS","7418.1"
0,"16TH St E","614","MINNEAPOLIS","7420.3"
0,"GLENWOOD AVE","2314","MINNEAPOLIS","7435.1"
0,"QUEEN AVE N","921","MINNEAPOLIS","7440.2"
0,"OLIVER AVE N","1723","MINNEAPOLIS","7169.1"
0,"PENN AVE N","1708","MINNEAPOLIS","7169.4"
0,"PENN AVE N","3000","MINNEAPOLIS","7177.3"
0,"PENN AVE N","3200","MINNEAPOLIS","7178.2"
0,"LAKE OF THE ISLES PKWY","2322","MINNEAPOLIS","7196.1"
0,"PENN AVE S","2330","MINNEAPOLIS","7196.4"
0,"COLUMBUS AVE","3302","MINNEAPOLIS","7217.2"
0,"PARK AVE","4155","MINNEAPOLIS","7224.10"
0,"PARK AVE","4155","MINNEAPOLIS","7224.9"
0,"PENN AVE N","1627","MINNEAPOLIS","7252.3"
0,"PENN AVE N","3323","MINNEAPOLIS","7263.1"
0,"PENN AVE N","3331","MINNEAPOLIS","7263.2"
0,"PENN AVE N","3355","MINNEAPOLIS","7263.3"
0,"PENN AVE N","3359","MINNEAPOLIS","7263.4"
0,"PENN AVE N","3727","MINNEAPOLIS","7267.2"
0,"PENN AVE S","4888","MINNEAPOLIS","7287.5"
0,"QUEEN AVE S","4870","MINNEAPOLIS","7287.7"
0,"52ND St W","2308","MINNEAPOLIS","7290.1"
0,"BUCHANAN ST","2236","MINNEAPOLIS","7298.2"
0,"26TH AVE NE","1318","MINNEAPOLIS","7301.1"
0,"BUCHANAN ST","2520","MINNEAPOLIS","7301.2"
0,"PILLSBURY AVE","2334","MINNEAPOLIS","7312.2"
0,"PLEASANT AVE","3801","MINNEAPOLIS","7328.3"
0,"PILLSBURY AVE","4056","MINNEAPOLIS","7330.3"
0,"PLEASANT AVE","4437","MINNEAPOLIS","7333.10"
0,"PLEASANT AVE","4425","MINNEAPOLIS","7333.11"
0,"26TH St W","311","MINNEAPOLIS","7341.1"
0,"GRAND AVE","3451","MINNEAPOLIS","7347.3"
0,"SUMMER ST","1038","MINNEAPOLIS","7367.1"
0,"TAYLOR ST","1114","MINNEAPOLIS","7385.4"
0,"OAKLAND AVE","3446","MINNEAPOLIS","7395.4"
0,"RUSSELL AVE N","4338","MINNEAPOLIS","7463.1"
0,"61ST ST W","2407","MINNEAPOLIS","7481.1"
0,"GLENWOOD AVE","2400","MINNEAPOLIS","7503.1"
0,"GLENWOOD AVE","2406","MINNEAPOLIS","7503.2"
0,"RUSSELL AVE N","4241","MINNEAPOLIS","7527.5"
0,"RUSSELL AVE N","4325","MINNEAPOLIS","7528.1"
0,"SHERIDAN AVE N","4417","MINNEAPOLIS","7529.2"
0,"LAKE OF THE ISLES PKWY","2528","MINNEAPOLIS","7537.1"
0,"RUSSELL AVE S","58","MINNEAPOLIS","7555.2"
0,"13TH AVE S","3743","MINNEAPOLIS","8422.1"
0,"2ND AVE S","4223","MINNEAPOLIS","8027.2"
0,"38TH St E","215","MINNEAPOLIS","8033.2"
0,"3RD AVE S","4801","MINNEAPOLIS","8033.3"
0,"CLINTON AVE","4028","MINNEAPOLIS","8085.10"
0,"3RD AVE S","4019","MINNEAPOLIS","8085.2"
0,"E LYNDALE AVE N","336","MINNEAPOLIS","8097.5"
0,"28TH AVE S","4927","MINNEAPOLIS","8840.2"
0,"29TH AVE S","4928","MINNEAPOLIS","8840.5"
0,"28TH AVE S","5111","MINNEAPOLIS","8842.3"
0,"THOMAS AVE N","2124","MINNEAPOLIS","7566.2"
0,"THOMAS AVE N","3802","MINNEAPOLIS","7581.10"
0,"THOMAS AVE N","4054","MINNEAPOLIS","7583.3"
0,"THOMAS AVE S","2515","MINNEAPOLIS","7595.1"
0,"STINSON BLVD","2207","MINNEAPOLIS","7644.2"
0,"STINSON BLVD","2223","MINNEAPOLIS","7644.3"
0,"27TH AVE SE","7","MINNEAPOLIS","7647.4"
0,"SUMMER ST","1110","MINNEAPOLIS","7652.2"
0,"29TH AVE NE","1111","MINNEAPOLIS","7660.1"
0,"29TH AVE NE","1115","MINNEAPOLIS","7660.2"
0,"FILLMORE ST","2960","MINNEAPOLIS","7661.4"
0,"FILLMORE ST","3420","MINNEAPOLIS","7665.1"
0,"UPTON AVE S","5023","MINNEAPOLIS","7710.2"
0,"UPTON AVE S","5519","MINNEAPOLIS","7712.1"
